Team,Opponent,Ground,Toss,Selection,Run_Scored,Wicket_Lost,Fours,Sixes,Extras,Run_Rate,Avg_Bat_Strike_Rate,Maximum_Partnership,Wicket_Taken,Highest_Individual_wicket,Result
Bangladesh,Sri Lanka,Colombo(SSC),Win,Bowling,193,8,15,1,23,4.19,56.86,47,4,2,Lose
Bangladesh,India,Colombo(SSC),Lose,Batting,130,8,10,0,19,3.02,31.66,33,1,1,Lose
India,Bangladesh,Colombo(SSC),Win,Bowling,132,1,16,2,8,8.8,129.57,73,8,3,Win
Sri Lanka,India,Colombo(RPS),Lose,Bowling,240,2,19,6,25,6.51,99.56,84,7,2,Win
India,Sri Lanka,Colombo(RPS),Win,Batting,239,7,11,2,15,4.78,91.52,81,2,1,Lose
Bangladesh,Sri Lanka,Dhaka,Lose,Batting,175,6,8,1,12,3.5,46.74,85,1,1,Lose
Sri Lanka,Bangladesh,Dhaka,Win,Bowling,178,1,20,4,13,5.8,82.31,96,6,2,Win
Bangladesh,India,Dhaka,Win,Batting,249,6,17,4,17,4.98,90.75,64,2,1,Lose
India,Bangladesh,Dhaka,Lose,Bowling,252,2,17,9,11,6.27,100.72,135,6,3,Win
India,Sri Lanka,Dhaka,Lose,Bowling,205,10,18,2,17,4.55,52.18,93,8,2,Lose
Sri Lanka,India,Dhaka,Win,Batting,276,8,21,2,23,5.52,84.47,105,10,3,Win
Bangladesh,Pakistan,Dhaka,Lose,Bowling,87,10,7,0,22,2.53,28.78,23,3,1,Lose
Pakistan,Bangladesh,Dhaka,Win,Batting,320,3,33,6,9,6.4,111.43,80,10,3,Win
India,Pakistan,Dhaka,Lose,Bowling,251,10,19,4,38,5.26,54.83,93,7,3,Lose
Pakistan,India,Dhaka,Win,Batting,295,7,29,3,16,5.9,100.53,100,10,4,Win
Pakistan,Sri Lanka,Dhaka,Lose,Bowling,193,3,14,3,15,3.99,64.61,90,10,3,Win
Sri Lanka,Pakistan,Dhaka,Win,Batting,192,10,10,2,12,3.91,46.81,62,3,2,Lose
Pakistan,Sri Lanka,Dhaka,Win,Batting,277,4,16,6,17,5.54,85.63,82,10,2,Win
Sri Lanka,Pakistan,Dhaka,Lose,Bowling,238,10,20,3,15,5.25,61.8,100,4,2,Lose
Bangladesh,Hong Kong,Colombo(SSC),Lose,Batting,221,9,15,0,20,4.42,74.38,68,10,3,Win
Hong Kong,Bangladesh,Colombo(SSC),Win,Bowling,105,10,6,0,13,2.31,31.01,20,9,3,Lose
India,UAE,Dambulla,Win,Batting,260,6,17,1,14,5.2,74.59,104,10,3,Win
UAE,India,Dambulla,Lose,Bowling,144,10,14,0,34,4.11,34.93,55,6,2,Lose
Bangladesh,Pakistan,Colombo(SSC),Lose,Bowling,181,10,13,1,20,3.99,45.64,62,6,2,Lose
Pakistan,Bangladesh,Colombo(SSC),Win,Batting,257,6,19,2,11,5.14,83.96,102,10,3,Win
Sri Lanka,UAE,Dambulla,Win,Batting,239,10,20,1,24,4.78,65.42,73,10,4,Win
UAE,Sri Lanka,Dambulla,Lose,Bowling,123,10,8,0,24,2.57,28.99,39,10,4,Lose
